epoch	train_loss	val_loss	test_accuracy
1	1.065477	0.683784	0.756989
2	0.581015	0.552490	0.808007
3	0.504002	0.512151	0.818191
4	0.467502	0.494264	0.823982
5	0.444586	0.466770	0.835164
6	0.427758	0.454407	0.837061
7	0.413923	0.443340	0.842552
8	0.403061	0.431171	0.846845
9	0.392177	0.429781	0.846645
10	0.383432	0.421942	0.848043
11	0.375906	0.415149	0.851837
12	0.368292	0.411786	0.852336
13	0.361994	0.411708	0.851338
14	0.355834	0.406284	0.850240
15	0.350363	0.402195	0.855331
16	0.344763	0.393335	0.856530
17	0.339903	0.388943	0.860423
18	0.335627	0.386669	0.858926
19	0.330502	0.388447	0.856629
20	0.326538	0.377005	0.864217
21	0.322322	0.377501	0.864417
22	0.318462	0.373623	0.865315
23	0.314903	0.372849	0.868211
24	0.310828	0.368699	0.866314
25	0.307534	0.368243	0.868610

Label        Precision   Recall      F1-score
---------------------------------------------
T-shirt/Top  0.821464    0.819000    0.820230
Trouser      0.983756    0.969000    0.976322
Pullover     0.757374    0.796000    0.776207
Dress        0.854247    0.885000    0.869352
Coat         0.776134    0.787000    0.781529
Sandal       0.965874    0.934000    0.949670
Shirt        0.701427    0.639000    0.668760
Sneaker      0.900280    0.966000    0.931983
Bag          0.960843    0.957000    0.958918
Ankle-Boot   0.962887    0.934000    0.948223
